height,time,diff
594595,1568333244,10771996663680.4
594596,1568333657,10771996663680.4
594597,1568334467,10771996663680.4
594598,1568334734,10771996663680.4
594599,1568335332,10771996663680.4
594600,1568335580,10771996663680.4
594601,1568335993,10771996663680.4
594602,1568336121,10771996663680.4
594603,1568336294,10771996663680.4
594604,1568338056,10771996663680.4
594605,1568339707,10771996663680.4
594606,1568339730,10771996663680.4
594607,1568339817,10771996663680.4
594608,1568339904,10771996663680.4
594609,1568340062,10771996663680.4
594610,1568342812,10771996663680.4
594611,1568342862,10771996663680.4
594612,1568343294,10771996663680.4
594613,1568343437,10771996663680.4
594614,1568343931,10771996663680.4
594615,1568345144,10771996663680.4
594616,1568345523,10771996663680.4
594617,1568345996,10771996663680.4
594618,1568346639,10771996663680.4
594619,1568346881,10771996663680.4
594620,1568347079,10771996663680.4
594621,1568347384,10771996663680.4
594622,1568347851,10771996663680.4
594623,1568348108,10771996663680.4
594624,1568348170,10771996663680.4
594625,1568348871,10771996663680.4
594626,1568349624,10771996663680.4
594627,1568349938,10771996663680.4
594628,1568350040,10771996663680.4
594629,1568350506,10771996663680.4
594630,1568350898,10771996663680.4
594631,1568351622,10771996663680.4
594632,1568351688,10771996663680.4
594633,1568351815,10771996663680.4
594634,1568352538,10771996663680.4
594635,1568352846,10771996663680.4
594636,1568353721,10771996663680.4
594637,1568353770,10771996663680.4
594638,1568354058,10771996663680.4
594639,1568354272,10771996663680.4
594640,1568355764,10771996663680.4
594641,1568356429,10771996663680.4
594642,1568356553,10771996663680.4
594643,1568357777,10771996663680.4
594644,1568357835,10771996663680.4
594645,1568359075,10771996663680.4
594646,1568359268,10771996663680.4
594647,1568360835,10771996663680.4
594648,1568361947,10771996663680.4
594649,1568361988,10771996663680.4
594650,1568363367,10771996663680.4
594651,1568363748,10771996663680.4
594652,1568364278,10771996663680.4
594653,1568364368,10771996663680.4
594654,1568364510,10771996663680.4
594655,1568365223,10771996663680.4
594656,1568365734,10771996663680.4
594657,1568367263,10771996663680.4
594658,1568367340,10771996663680.4
594659,1568367628,10771996663680.4
594660,1568368796,10771996663680.4
594661,1568368840,10771996663680.4
594662,1568369704,10771996663680.4
594663,1568369927,10771996663680.4
594664,1568370193,10771996663680.4
594665,1568370620,10771996663680.4
594666,1568371428,10771996663680.4
594667,1568371627,10771996663680.4
594668,1568372495,10771996663680.4
594669,1568372736,10771996663680.4
594670,1568373726,10771996663680.4
594671,1568374540,10771996663680.4
594672,1568375551,10771996663680.4
594673,1568375987,10771996663680.4
594674,1568377467,10771996663680.4
594675,1568377695,10771996663680.4
594676,1568378070,10771996663680.4
594677,1568380419,10771996663680.4
594678,1568380512,10771996663680.4
594679,1568381204,10771996663680.4
594680,1568381791,10771996663680.4
594681,1568382579,10771996663680.4
594682,1568382776,10771996663680.4
594683,1568382863,10771996663680.4
594684,1568383651,10771996663680.4
594685,1568384442,10771996663680.4
594686,1568384989,10771996663680.4
594687,1568386380,10771996663680.4
594688,1568386969,10771996663680.4
594689,1568387281,10771996663680.4
594690,1568387351,10771996663680.4
594691,1568387867,10771996663680.4
594692,1568389395,10771996663680.4
594693,1568390069,10771996663680.4
594694,1568390199,10771996663680.4
594695,1568390671,10771996663680.4
594696,1568391318,10771996663680.4
594697,1568392451,10771996663680.4
594698,1568392576,10771996663680.4
594699,1568392721,10771996663680.4
594700,1568392794,10771996663680.4
594701,1568393112,10771996663680.4
594702,1568393529,10771996663680.4
594703,1568394089,10771996663680.4
594704,1568394369,10771996663680.4
594705,1568396450,10771996663680.4
594706,1568396515,10771996663680.4
594707,1568396553,10771996663680.4
594708,1568396640,10771996663680.4
594709,1568396696,10771996663680.4
594710,1568397051,10771996663680.4
594711,1568397715,10771996663680.4
594712,1568398855,10771996663680.4
594713,1568399241,10771996663680.4
594714,1568399447,10771996663680.4
594715,1568399845,10771996663680.4
594716,1568400119,10771996663680.4
594717,1568400181,10771996663680.4
594718,1568400917,10771996663680.4
594719,1568401109,10771996663680.4
594720,1568401591,11890594958795.76
594721,1568402988,11890594958795.76
594722,1568404220,11890594958795.76
594723,1568405510,11890594958795.76
594724,1568405555,11890594958795.76
594725,1568406487,11890594958795.76
594726,1568407346,11890594958795.76
594727,1568407445,11890594958795.76
594728,1568408153,11890594958795.76
594729,1568408277,11890594958795.76
594730,1568408401,11890594958795.76
594731,1568408660,11890594958795.76
594732,1568409305,11890594958795.76
594733,1568410385,11890594958795.76
594734,1568410427,11890594958795.76
594735,1568411445,11890594958795.76
594736,1568412751,11890594958795.76
594737,1568413935,11890594958795.76
594738,1568414429,11890594958795.76
594739,1568414517,11890594958795.76
594740,1568417072,11890594958795.76
594741,1568418004,11890594958795.76
594742,1568418041,11890594958795.76
594743,1568418080,11890594958795.76
594744,1568419195,11890594958795.76
594745,1568419549,11890594958795.76
594746,1568419719,11890594958795.76
594747,1568420021,11890594958795.76
594748,1568420145,11890594958795.76
594749,1568420306,11890594958795.76
594750,1568420426,11890594958795.76
594751,1568421362,11890594958795.76
594752,1568421497,11890594958795.76
594753,1568421593,11890594958795.76
594754,1568422285,11890594958795.76
594755,1568422419,11890594958795.76
594756,1568422584,11890594958795.76
594757,1568423210,11890594958795.76
594758,1568426396,11890594958795.76
594759,1568426817,11890594958795.76
594760,1568427556,11890594958795.76
594761,1568427803,11890594958795.76
594762,1568427967,11890594958795.76
594763,1568428207,11890594958795.76
594764,1568429437,11890594958795.76
594765,1568429841,11890594958795.76
594766,1568430647,11890594958795.76
594767,1568431611,11890594958795.76
594768,1568432133,11890594958795.76
594769,1568432328,11890594958795.76
594770,1568433505,11890594958795.76
594771,1568433634,11890594958795.76
594772,1568433923,11890594958795.76
594773,1568435350,11890594958795.76
594774,1568435436,11890594958795.76
594775,1568435497,11890594958795.76
594776,1568435523,11890594958795.76
594777,1568435889,11890594958795.76
594778,1568437515,11890594958795.76
594779,1568439877,11890594958795.76
594780,1568439882,11890594958795.76
594781,1568439978,11890594958795.76
594782,1568440096,11890594958795.76
594783,1568441793,11890594958795.76
594784,1568442154,11890594958795.76
594785,1568442904,11890594958795.76
594786,1568444307,11890594958795.76
594787,1568444485,11890594958795.76
594788,1568444635,11890594958795.76
594789,1568444655,11890594958795.76
594790,1568445108,11890594958795.76
594791,1568445188,11890594958795.76
594792,1568447333,11890594958795.76
594793,1568447389,11890594958795.76
594794,1568448186,11890594958795.76
594795,1568448482,11890594958795.76
594796,1568448497,11890594958795.76
594797,1568448633,11890594958795.76
594798,1568448795,11890594958795.76
594799,1568449286,11890594958795.76
594800,1568449666,11890594958795.76
594801,1568450078,11890594958795.76
594802,1568450203,11890594958795.76
594803,1568450510,11890594958795.76
594804,1568450623,11890594958795.76
594805,1568451747,11890594958795.76
594806,1568451963,11890594958795.76
594807,1568452875,11890594958795.76
594808,1568452882,11890594958795.76
594809,1568453915,11890594958795.76
594810,1568453970,11890594958795.76
594811,1568454367,11890594958795.76
594812,1568454667,11890594958795.76
594813,1568455998,11890594958795.76
594814,1568458222,11890594958795.76
594815,1568458358,11890594958795.76
594816,1568458486,11890594958795.76
594817,1568459166,11890594958795.76
594818,1568459271,11890594958795.76
594819,1568460349,11890594958795.76
594820,1568460925,11890594958795.76
594821,1568461646,11890594958795.76
594822,1568461845,11890594958795.76
594823,1568462229,11890594958795.76
594824,1568463033,11890594958795.76
594825,1568463165,11890594958795.76
594826,1568463877,11890594958795.76
594827,1568463890,11890594958795.76
594828,1568464272,11890594958795.76
594829,1568464613,11890594958795.76
594830,1568464718,11890594958795.76
594831,1568465307,11890594958795.76
594832,1568465870,11890594958795.76
594833,1568466821,11890594958795.76
594834,1568466926,11890594958795.76
594835,1568467175,11890594958795.76
594836,1568467728,11890594958795.76
594837,1568468018,11890594958795.76
594838,1568468896,11890594958795.76
594839,1568470136,11890594958795.76
594840,1568470206,11890594958795.76
594841,1568472071,11890594958795.76
594842,1568472608,11890594958795.76
594843,1568472686,11890594958795.76
594844,1568472948,11890594958795.76
594845,1568473044,11890594958795.76
594846,1568473933,11890594958795.76
594847,1568474442,11890594958795.76
594848,1568475047,11890594958795.76
594849,1568476485,11890594958795.76
594850,1568477911,11890594958795.76
594851,1568478382,11890594958795.76
594852,1568479472,11890594958795.76
594853,1568481406,11890594958795.76
594854,1568481466,11890594958795.76
594855,1568482006,11890594958795.76
594856,1568482159,11890594958795.76
594857,1568482126,11890594958795.76
594858,1568482512,11890594958795.76
594859,1568482862,11890594958795.76
594860,1568482895,11890594958795.76
594861,1568483373,11890594958795.76
594862,1568483470,11890594958795.76
594863,1568483848,11890594958795.76
594864,1568484042,11890594958795.76
594865,1568485462,11890594958795.76
594866,1568486472,11890594958795.76
594867,1568488208,11890594958795.76
594868,1568488411,11890594958795.76
594869,1568488462,11890594958795.76
594870,1568488977,11890594958795.76
594871,1568489062,11890594958795.76
